OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ASIASAT 4,2003-014A,2026-08-26T23:41:38.852736,1.00271721,.00026715,4.8795,74.8253,83.5805,319.7955,0,U,27718,999,4601,0,-.223E-5,0
HELLAS-SAT 2,2003-020A,2026-08-26T18:07:20.823168,1.00272829,.00065283,7.5235,67.0140,124.1540,45.6828,0,U,27811,999,4355,0,-.84E-6,0
THURAYA-2,2003-026A,2026-08-27T00:54:38.701152,1.00271498,.00013271,8.9472,31.6212,44.6047,316.7225,0,U,27825,999,8506,0,.127E-5,0
OPTUS C1,2003-028B,2026-08-26T16:35:16.622304,1.00270542,.00055532,7.0594,68.5283,86.8104,224.1351,0,U,27831,999,5376,0,-.152E-5,0
MOST,2003-031D,2026-08-27T07:28:50.675232,14.21334839,.00107527,98.7077,246.0535,51.4407,308.7732,0,U,27843,999,20081,.47587024E-4,.6E-6,0
CUTE-1 (CO-55),2003-031E,2026-08-26T23:40:45.759936,14.24372616,.00092564,98.6766,246.6641,347.4720,12.6227,0,U,27844,999,20175,.1195662E-3,.233E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-08-25T22:57:25.147584,14.23652119,.0009642,98.6795,245.3030,9.4215,350.7143,0,U,27848,999,20130,.10644E-3,.199E-5,0
SCISAT 1,2003-036A,2026-08-26T10:54:45.867456,14.81519569,.00061011,73.9303,31.7182,76.8668,283.3188,0,U,27858,999,24185,.82749034E-4,.613E-5,0
COSMOS 2400,2003-037A,2026-08-27T06:03:33.376896,12.45191323,.00202875,82.4695,285.2932,259.0422,100.8376,0,U,27868,999,4638,-.1195403E-3,-.7E-7,0
COSMOS 2401,2003-037B,2026-08-27T06:39:25.775424,12.45504242,.00210645,82.4680,281.6248,253.9889,105.8872,0,U,27869,999,4662,-.23884019E-3,-.24E-6,0
USA 170,2003-040A,2026-08-26T02:53:14.274240,1.00276589,.00014589,10.6439,47.2622,100.0104,254.6267,0,U,27875,999,3369,0,.127E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-08-27T07:41:51.302688,14.73576047,.00122735,98.3484,65.7049,47.4561,77.1912,0,U,27939,999,22602,.13992887E-3,.858E-5,0
LARETS,2003-042F,2026-08-27T06:29:09.709728,14.63878967,.00124478,98.4239,43.0000,168.9789,191.1688,0,U,27944,999,22376,.15585242E-4,.31E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-08-27T06:55:19.422336,1.00272631,.00020418,1.5972,82.8709,73.4270,133.0382,0,U,27954,999,4728,0,.131E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-08-27T07:34:18.252192,14.14488021,.000616,98.9880,263.6088,312.1365,58.3558,0,U,28054,999,17954,.48859978E-4,.48E-6,0
CHUANGXIN 1 (CX-1),2003-049B,2026-08-27T06:00:30.153600,14.48613778,.00119232,98.4978,138.8059,332.6913,27.3652,0,U,28058,999,20656,.65491775E-4,.201E-5,0
YAMAL 202,2003-053A,2026-08-26T16:21:50.885280,1.00272850,.00040648,6.5153,70.0539,106.2565,207.6775,0,U,28089,999,8340,0,-.8E-6,0
